ticker,market_date,price,open,high,low,volume,change
ETH,12/31/2020,735.94,751.92,755.13,724.67,1.04M,-2.11%
ETH,12/30/2020,751.8,732.04,757.11,720.21,1.86M,2.74%
ETH,12/29/2020,731.76,730.26,739.77,690.24,1.82M,0.23%
ETH,12/28/2020,730.05,683.76,747.86,682.47,2.75M,6.78%
ETH,12/27/2020,683.71,636.35,715.46,627.12,2.31M,7.40%
ETH,12/26/2020,636.58,626.99,652.36,616.04,1.94M,1.54%
ETH,12/25/2020,626.93,612.38,633.9,605.01,1.70M,2.38%
ETH,12/24/2020,612.34,585.47,614.92,566.15,1.72M,4.55%
ETH,12/23/2020,585.69,637.04,638.11,554.09,2.20M,-8.12%
ETH,12/22/2020,637.47,607.86,637.47,588.24,2.12M,4.87%
ETH,12/21/2020,607.85,638.28,647.87,599.97,1.88M,-4.77%
ETH,12/20/2020,638.26,657.79,661.04,622.39,2.11M,-3.02%
ETH,12/19/2020,658.17,654.08,669.54,645.91,2.17M,0.66%
ETH,12/18/2020,653.85,643.28,664.26,630.44,2.63M,1.66%
ETH,12/17/2020,643.17,637.29,675.68,627.36,3.67M,0.91%
ETH,12/16/2020,637.38,588.81,638.18,580.9,3.11M,8.23%
ETH,12/15/2020,588.91,586.22,596.97,579.95,1.74M,0.46%
ETH,12/14/2020,586.19,590.66,591.41,576.01,1.78M,-0.83%
ETH,12/13/2020,591.09,568.07,594.83,563.37,2.03M,4.10%
ETH,12/12/2020,567.78,544.16,573.59,543.9,1.62M,4.34%
ETH,12/11/2020,544.17,558.15,560.28,536.43,30.17M,-2.50%
ETH,12/10/2020,558.13,573.28,575.56,548.99,19.60M,-2.63%
ETH,12/9/2020,573.21,554.95,577.94,530.88,9.10M,3.27%
ETH,12/8/2020,555.05,591.03,594.78,551.08,8.11M,-6.10%
ETH,12/7/2020,591.09,601.54,603.06,584.53,7.72M,-1.76%
ETH,12/6/2020,601.68,596.61,606.9,583.67,13.14M,0.84%
ETH,12/5/2020,596.68,567.84,596.73,561.24,30.83M,5.07%
ETH,12/4/2020,567.91,616.33,619.61,566.34,48.95M,-7.85%
ETH,12/3/2020,616.32,597.94,622.1,587.15,24.00M,3.06%
ETH,12/2/2020,598.05,585.69,604.34,575.24,16.21M,2.12%
ETH,12/1/2020,585.66,616.78,635.66,567.79,49.42M,-4.91%
ETH,11/30/2020,615.92,575.35,615.97,571.04,51.72M,7.03%
ETH,11/29/2020,575.45,537.89,576.52,530.71,5.79M,7.01%
ETH,11/28/2020,537.74,518.7,547.94,506.97,5.34M,3.79%
ETH,11/27/2020,518.11,519.69,530.41,494.65,6.42M,-0.23%
ETH,11/26/2020,519.32,569.69,577.08,484.03,13.11M,-8.84%
ETH,11/25/2020,569.67,605.01,605.63,555.32,14.50M,-5.84%
ETH,11/24/2020,605.03,609.2,621.7,589.56,41.11M,-0.69%
ETH,11/23/2020,609.22,559.37,610.33,551.8,49.68M,8.91%
ETH,11/22/2020,559.4,551.9,580,514.44,36.76M,1.36%
ETH,11/21/2020,551.91,509.94,552.13,505.14,26.86M,8.22%
ETH,11/20/2020,509.98,471.27,513.06,471.06,30.85M,8.23%
ETH,11/19/2020,471.21,478.55,480.55,465.41,12.53M,-1.53%
ETH,11/18/2020,478.52,482.05,495.04,459.92,18.19M,-0.71%
ETH,11/17/2020,481.95,460.37,484.59,459.74,7.93M,4.67%
ETH,11/16/2020,460.43,448.18,465.97,445.82,5.62M,2.72%
ETH,11/15/2020,448.23,460.75,462.93,440.44,9.34M,-2.71%
ETH,11/14/2020,460.7,476.38,477.34,452.6,9.17M,-3.27%
ETH,11/13/2020,476.29,462.61,477.78,457.65,9.85M,2.97%
ETH,11/12/2020,462.56,463.33,469.57,452.44,9.33M,-0.17%
ETH,11/11/2020,463.33,450.26,476.08,449.51,15.13M,2.91%
ETH,11/10/2020,450.22,444.38,454.43,439.5,20.76M,1.33%
ETH,11/9/2020,444.33,454.55,458.51,434.95,28.85M,-2.28%
ETH,11/8/2020,454.68,435.39,460.09,432.44,4.82M,4.43%
ETH,11/7/2020,435.4,455.78,467.88,425.57,7.78M,-4.46%
ETH,11/6/2020,455.72,416.59,457.79,415.08,6.53M,9.38%
ETH,11/5/2020,416.63,402.5,419.94,396.46,7.04M,3.59%
ETH,11/4/2020,402.19,388.23,407.9,377.22,6.17M,3.68%
ETH,11/3/2020,387.92,383.64,389.98,370.96,6.73M,1.14%
ETH,11/2/2020,383.53,396.45,404.04,379.13,9.43M,-3.22%
ETH,11/1/2020,396.29,386.36,397.32,384.94,5.52M,2.55%
ETH,10/31/2020,386.42,382.81,394.01,380.53,6.42M,1.05%
ETH,10/30/2020,382.41,387.16,391.98,374.36,2.81M,-1.13%
ETH,10/29/2020,386.76,388.25,393.33,381.53,3.04M,-0.35%
ETH,10/28/2020,388.14,403.11,408.1,381.51,9.96M,-3.72%
ETH,10/27/2020,403.15,393.93,409.85,390.92,6.29M,2.29%
ETH,10/26/2020,394.11,406.45,410.41,383.21,9.06M,-2.95%
ETH,10/25/2020,406.09,412.44,417.07,403.95,3.05M,-1.42%
ETH,10/24/2020,411.92,408.59,416.28,407.74,2.68M,0.83%
ETH,10/23/2020,408.52,414.12,419.11,402.91,8.18M,-1.33%
ETH,10/22/2020,414.05,391.39,420.12,391.21,12.65M,5.84%
ETH,10/21/2020,391.2,368.53,400.36,368.06,13.61M,6.20%
ETH,10/20/2020,368.35,379.03,380.14,367.16,7.46M,-2.86%
ETH,10/19/2020,379.19,377.85,383.97,372.72,6.85M,0.37%
ETH,10/18/2020,377.81,368.61,378.49,367.54,4.68M,2.49%
ETH,10/17/2020,368.63,365.08,369.94,363.18,4.98M,0.95%
ETH,10/16/2020,365.17,377.6,379.6,362.65,7.59M,-3.25%
ETH,10/15/2020,377.45,378.96,380.77,370.39,7.93M,-0.45%
ETH,10/14/2020,379.15,381.13,387.11,373.62,8.08M,-0.55%
ETH,10/13/2020,381.23,386.64,387.06,374.57,7.92M,-1.41%
ETH,10/12/2020,386.68,374.39,394.58,366.05,10.39M,3.34%
ETH,10/11/2020,374.19,370.28,377.27,369.23,5.22M,1.09%
ETH,10/10/2020,370.16,365.25,377.97,364.57,7.17M,1.34%
