txn_id,member_id,ticker,txn_date,txn_type,quantity,percentage_fee,,,,
14683,c81e72,ETH,1-1-2020,BUY,2.482398435,0.14,,,,
14684,aab323,BTC,1-1-2020,BUY,1.666423136,0.06,,,,
14685,a87ff6,BTC,1-1-2020,BUY,9.88613544,0.3,,,,
14686,e4da3b,ETH,1-1-2020,BUY,9.611203413,0.3,,,,
14687,aab323,ETH,1-1-2020,BUY,9.150398933,0.3,,,,
14688,c4ca42,ETH,1-1-2020,SELL,1.647698317,0.3,,,,
14689,d3d944,BTC,1-1-2020,SELL,5.301620186,0.3,,,,
14690,8f14e4,BTC,1-1-2020,BUY,7.87305844,0.3,,,,
14691,c20ad4,BTC,1-1-2020,BUY,1.04020998,0.3,,,,
14692,e4da3b,ETH,1-1-2020,BUY,2.592051607,0.3,,,,
14693,c4ca42,BTC,1-1-2020,BUY,9.881923589,0.3,,,,
14694,c4ca42,BTC,1-1-2020,BUY,6.001040529,0.3,,,,
14695,e4da3b,ETH,2-1-2020,BUY,4.265306256,0.3,,,,
14696,e4da3b,BTC,2-1-2020,BUY,9.01495046,0.3,,,,
14697,a87ff6,ETH,2-1-2020,BUY,5.096117326,0.3,,,,
14698,a87ff6,ETH,2-1-2020,BUY,1.186074145,0.3,,,,
14699,6512bd,BTC,2-1-2020,BUY,5.13401194,0.3,,,,
14700,167909,ETH,2-1-2020,SELL,1.232526281,0.3,,,,
14701,c4ca42,BTC,2-1-2020,SELL,8.49531451,0.3,,,,
14702,c9f0f8,BTC,2-1-2020,BUY,1.780022521,0.02,,,,
14703,167909,ETH,3-1-2020,BUY,1.315814227,0.3,,,,
14704,45c48c,BTC,3-1-2020,BUY,5.730082011,0.3,,,,
14705,aab323,ETH,3-1-2020,BUY,0.273391836,0.3,,,,
14706,45c48c,BTC,3-1-2020,BUY,0.605415088,0.3,,,,
14707,e4da3b,BTC,3-1-2020,SELL,6.683399743,0.2,,,,
14708,c20ad4,ETH,3-1-2020,BUY,1.23727865,0.04,,,,
